config,impl,dim,M,N,K,cycles,macs,ideal_cycles,util_pct,result
GemminiStockDIM16RocketConfig,stock,16,64,64,64,5420,262144,1024,18,PASS
GemminiStockDIM16RocketConfig,stock,16,128,128,128,11639,2097152,8192,70,PASS
GemminiStockDIM16RocketConfig,stock,16,256,256,256,76914,16777216,65536,85,PASS
GemminiMXINT8DIM16RocketConfig,mx,16,64,64,64,6053,262144,1024,16,PASS
GemminiMXINT8DIM16RocketConfig,mx,16,128,128,128,35829,2097152,8192,22,PASS
GemminiMXINT8DIM16RocketConfig,mx,16,256,256,256,268721,16777216,65536,24,PASS
GemminiMXINT8DIM32RocketConfig,mx,32,64,64,64,5742,262144,256,4,PASS
GemminiMXINT8DIM32RocketConfig,mx,32,128,128,128,27614,2097152,2048,7,PASS
GemminiMXINT8DIM32RocketConfig,mx,32,256,256,256,193893,16777216,16384,8,PASS
GemminiStockDIM32RocketConfig,stock,32,64,64,64,5096,262144,256,5,PASS
GemminiStockDIM32RocketConfig,stock,32,128,128,128,9950,2097152,2048,20,PASS
GemminiStockDIM32RocketConfig,stock,32,256,256,256,36876,16777216,16384,44,PASS
