config,impl,dim,M,N,K,cycles,macs,ideal_cycles,util_pct,result
GemminiStockDIM32RocketConfig,stock,32,64,64,64,5095,262144,256,5,PASS
GemminiStockDIM32RocketConfig,stock,32,128,128,128,10445,2097152,2048,19,PASS
GemminiStockDIM32RocketConfig,stock,32,256,256,256,41022,16777216,16384,39,PASS
GemminiMXINT8DIM32RocketConfig,mx,32,64,64,64,4267,262144,256,5,PASS
GemminiMXINT8DIM32RocketConfig,mx,32,128,128,128,10001,2097152,2048,20,PASS
GemminiMXINT8DIM32RocketConfig,mx,32,256,256,256,44974,16777216,16384,36,PASS
GemminiStockDIM16RocketConfig,stock,16,64,64,64,6088,262144,1024,16,PASS
GemminiStockDIM16RocketConfig,stock,16,128,128,128,12900,2097152,8192,63,PASS
GemminiStockDIM16RocketConfig,stock,16,256,256,256,78453,16777216,65536,83,PASS
GemminiMXINT8DIM16RocketConfig,mx,16,64,64,64,4486,262144,1024,22,PASS
GemminiMXINT8DIM16RocketConfig,mx,16,128,128,128,14947,2097152,8192,54,PASS
GemminiMXINT8DIM16RocketConfig,mx,16,256,256,256,104661,16777216,65536,62,PASS
